Column1,Column2,Column3,Column4,Column5,Column6
X.timestamp,MetricName,Tag_EventHandlerInstance,Tag_MC.TrackingId,Tag_StreamTypeName,Tag_Type
"Jun 1, 2021 @ 09:07:19.425",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:19.425",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSaveStateEvent
"Jun 1, 2021 @ 09:07:19.414",Event,BusinessActivityApi.DividenduitkeringBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.414",Event,Stream.Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.414",Event,BusinessActivityApi.BtwAfdrachtBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.414",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.414",Event,Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.414",Event,Betaling.BetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingCreatedEvent
"Jun 1, 2021 @ 09:07:19.405",Event,UitgaandeBetalingAfletteren.UitgaandeBetalingAfletterenProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.405",Event,BetaalopdrachtDC.BetaalopdrachtDCProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.405",Event,BetalingCollectDC.BetalingCollectDCProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.404",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.404",Event,Reconciliation.bankmutatie_betalingProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.394",Event,Betaling.BetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingProjector,Betaling.UpdateBetalingRequestedEvent
"Jun 1, 2021 @ 09:07:19.392",Event,InputBetaling.InputBetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingDraftCompletedEvent
"Jun 1, 2021 @ 09:07:19.389",Event,InputBetaling.InputBetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.388",Event,InputBetaling.InputBetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingDraftCreatedEvent
"Jun 1, 2021 @ 09:07:19.383",Event,InputBetaling.InputBetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,InputBetaling.InputBetalingDraftInstanceRequestedEvent
"Jun 1, 2021 @ 09:07:19.382",Event,InputBetaling.InputBetalingProjector,1591c4f35bb34cd3afdde3764d371fe8,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingDiscardedEvent
"Jun 1, 2021 @ 09:07:19.372",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:19.372",Event,InputBetaling.InputBetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,InputBetaling.DiscardInputBetalingRequestedEvent
"Jun 1, 2021 @ 09:07:19.364",Event,Betaling.BetalingProcessRouter,1591c4f35bb34cd3afdde3764d371fe8,BusinessActivityApi.InkoopfactuurBetalingChainProjector,Betaling.ActualizeBetalingRequestedEvent
"Jun 1, 2021 @ 09:07:19.361",Event,BetaalopdrachtDC.BetaalopdrachtDCProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.361",Event,UitgaandeBetalingAfletteren.UitgaandeBetalingAfletterenProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:19.361",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:19.361",Event,BusinessActivityApi.DividenduitkeringBetalingChainProjector,1591c4f35bb34cd3afdde3764d371fe8,Betaling.BetalingAggregateRoot,Betaling.BetalingUpdatedEvent
