"@timestamp",ApplicationName,"LS-Machine","LS-ProcessId","LS-ProcessName",MessageType,MetricName,"Tag_CommitStreamSequenceNumber","Tag_EventHandlerInstance","Tag_EventHandlerName","Tag_MC-AccountId","Tag_MC-CommitTime","Tag_MC-MessageOrigin","Tag_MC-SourceId","Tag_MC-TrackingId","Tag_MC-TrackingSource","Tag_NrOfCountQueries","Tag_NrOfCreateQueries","Tag_NrOfDeleteQueries","Tag_NrOfExistsQueries","Tag_NrOfMultipleSelectQueries","Tag_NrOfSingleSelectQueries","Tag_NrOfUpdateQueries","Tag_NrOfUpsertQueries","Tag_PackageName","Tag_PackageVersion","Tag_StreamTypeName","Tag_TenantDeploymentSlot","Tag_TenantKey","Tag_TenantName","Tag_Type",Value,"_id","_index","_score","_type"
"May 20, 2021 @ 12:19:11.703",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.695Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|4Nr65y1RKoti3fEJWuxr8TfH60M=-1",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,2,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpGewijzigdEvent",0,"lX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.700",Host,"NL01-AVR","22,940",,LogMetric,Event,4,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|8SYydBkktgxN6ina23wiiM7swzQ=-3",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,0,0,0,1,1,1,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEndEvent",4,"l3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.697",Host,"NL01-AVR","22,940",,LogMetric,Event,1,"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.691Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|fMvxpBR5jVQF2LdWNkEAarFYdu0=-1",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,2,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudGewijzigdEvent",0,"kX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.697",Host,"NL01-AVR","22,940",,LogMetric,Event,4,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|b/S+V4zZgnzp+wvR9F+/0e8hGU4=-3",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,0,0,0,1,1,1,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEndEvent",6,"k3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.694",Host,"NL01-AVR","22,940",,LogMetric,Event,3,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|8SYydBkktgxN6ina23wiiM7swzQ=-2",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,1,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEvent",0,"j3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.691",Host,"NL01-AVR","22,940",,LogMetric,Event,3,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|b/S+V4zZgnzp+wvR9F+/0e8hGU4=-2",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,1,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEvent",0,"iX-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.685",Host,"NL01-AVR","22,940",,LogMetric,Event,3,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpViewProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|8SYydBkktgxN6ina23wiiM7swzQ=-2",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,1,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyEvent",3,"hH-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.685",Host,"NL01-AVR","22,940",,LogMetric,Event,2,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|8SYydBkktgxN6ina23wiiM7swzQ=-1",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_OnderwerpApplyStartEvent",9,"i3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.685",Host,"NL01-AVR","22,940",,LogMetric,Event,3,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudViewProjector","Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|b/S+V4zZgnzp+wvR9F+/0e8hGU4=-2",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,1,0,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyEvent",0,"g3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
"May 20, 2021 @ 12:19:11.684",Host,"NL01-AVR","22,940",,LogMetric,Event,2,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudSyncProjector","Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector",20e6d695de8949a39b6fa21a41daeb67,"2021-05-20T12:19:11.677Z",Server,"oS17wpsPKU2aW7+lWJQPIQ==|b/S+V4zZgnzp+wvR9F+/0e8hGU4=-1",8556923113d94d38a6a4c98167496d16,"20e6d695-de89-49a3-9b6f-a21a41daeb67https://nl01-avr.afasgroep.nl:11112/a/7b8e279b-b551-556e-a00a-a815392d0d38/onbekend/new?prefill=%7B%7D&requestpart=isMagazijn",0,1,0,0,0,1,0,0,AfasNext,"1.0.0-dev","Settings.GbrtnsMtPlchldrs_Magazijn_InhoudProcessingProjector",UnmanagedDemo,AfasNext,AfasNext,"Settings.GbrtnsMtPlchldrs_Magazijn_InhoudApplyStartEvent",5,"h3-3iXkB8LmscEX-ONEi","logstash-2021.04.30-000001",,"_doc"
