Source;Target;mType;trackingId;useless
atm-terminal;terminal-proxy;authenticationRequest;id-1625820395955;1625820395955
terminal-proxy;bank-service;authenticationRequest;id-1625820395955;1625820396389
bank-service;auth-server;autenticationRequest;id-1625820395955;1625820396391
atm-terminal;terminal-proxy;checkBalance;id-1625820398616;1625820398616
terminal-proxy;bank-service;checkBalance;id-1625820398616;1625820398621
bank-service;balance-service;checkBalance;id-1625820398616;1625820398623
atm-terminal;terminal-proxy;depositRequest;id-1625820403744;1625820403744
terminal-proxy;bank-service;depositRequest;id-1625820403744;1625820403749
bank-service;balance-service;depositRequest;id-1625820403744;1625820403751
atm-terminal;terminal-proxy;depositRequest;id-1625820405318;1625820405318
terminal-proxy;bank-service;depositRequest;id-1625820405318;1625820405326
bank-service;balance-service;depositRequest;id-1625820405318;1625820405328
atm-terminal;terminal-proxy;depositRequest;id-1625820406359;1625820406359
terminal-proxy;bank-service;depositRequest;id-1625820406359;1625820406363
bank-service;balance-service;depositRequest;id-1625820406359;1625820406366
atm-terminal;terminal-proxy;withdrawalRequest;id-1625820407673;1625820407673
terminal-proxy;bank-service;withdrawalRequest;id-1625820407673;1625820407679
bank-service;balance-service;withdrawalRequest;id-1625820407673;1625820407682
atm-terminal;terminal-proxy;checkBalance;id-1625820409059;1625820409059
terminal-proxy;bank-service;checkBalance;id-1625820409059;1625820409064
bank-service;balance-service;checkBalance;id-1625820409059;1625820409066
atm-terminal;terminal-proxy;withdrawalRequest;id-1625820410351;1625820410351
terminal-proxy;bank-service;withdrawalRequest;id-1625820410351;1625820410355
bank-service;balance-service;withdrawalRequest;id-1625820410351;1625820410357
atm-terminal;terminal-proxy;checkBalance;id-1625820410760;1625820410760
terminal-proxy;bank-service;checkBalance;id-1625820410760;1625820410764
bank-service;balance-service;checkBalance;id-1625820410760;1625820410766
atm-terminal;terminal-proxy;printReceipt;id-1625820411879;1625820411879
terminal-proxy;bank-service;printReceipt;id-1625820411879;1625820411883
atm-terminal;terminal-proxy;printReceipt;id-1625820413151;1625820413151
terminal-proxy;bank-service;printReceipt;id-1625820413151;1625820413155
atm-terminal;terminal-proxy;depositRequest;id-1625820414819;1625820414819
terminal-proxy;bank-service;depositRequest;id-1625820414819;1625820414823
bank-service;balance-service;depositRequest;id-1625820414819;1625820414825
atm-terminal;terminal-proxy;printReceipt;id-1625820415385;1625820415385
terminal-proxy;bank-service;printReceipt;id-1625820415385;1625820415389
atm-terminal;terminal-proxy;authenticationRequest;id-1625820420032;1625820420032
terminal-proxy;bank-service;authenticationRequest;id-1625820420032;1625820420036
bank-service;auth-server;autenticationRequest;id-1625820420032;1625820420038
atm-terminal;terminal-proxy;checkBalance;id-1625820420787;1625820420787
terminal-proxy;bank-service;checkBalance;id-1625820420787;1625820420791
bank-service;balance-service;checkBalance;id-1625820420787;1625820420793
atm-terminal;terminal-proxy;authenticationRequest;id-1625820422556;1625820422556
terminal-proxy;bank-service;authenticationRequest;id-1625820422556;1625820422562
bank-service;auth-server;autenticationRequest;id-1625820422556;1625820422564
atm-terminal;terminal-proxy;depositRequest;id-1625820423801;1625820423801
terminal-proxy;bank-service;depositRequest;id-1625820423801;1625820423805
bank-service;balance-service;depositRequest;id-1625820423801;1625820423807
atm-terminal;terminal-proxy;depositRequest;id-1625820424920;1625820424920
terminal-proxy;bank-service;depositRequest;id-1625820424920;1625820424924
bank-service;balance-service;depositRequest;id-1625820424920;1625820424927
atm-terminal;terminal-proxy;withdrawalRequest;id-1625820426281;1625820426281
terminal-proxy;bank-service;withdrawalRequest;id-1625820426281;1625820426285
bank-service;balance-service;withdrawalRequest;id-1625820426281;1625820426287
atm-terminal;terminal-proxy;checkBalance;id-1625820427419;1625820427419
terminal-proxy;bank-service;checkBalance;id-1625820427419;1625820427424
bank-service;balance-service;checkBalance;id-1625820427419;1625820427426
atm-terminal;terminal-proxy;printReceipt;id-1625820428715;1625820428715
terminal-proxy;bank-service;printReceipt;id-1625820428715;1625820428719
atm-terminal;terminal-proxy;authenticationRequest;id-1625820430689;1625820430689
terminal-proxy;bank-service;authenticationRequest;id-1625820430689;1625820430693
bank-service;auth-server;autenticationRequest;id-1625820430689;1625820430695
atm-terminal;terminal-proxy;checkBalance;id-1625820431172;1625820431172
terminal-proxy;bank-service;checkBalance;id-1625820431172;1625820431175
bank-service;balance-service;checkBalance;id-1625820431172;1625820431177
atm-terminal;terminal-proxy;depositRequest;id-1625820432729;1625820432729
terminal-proxy;bank-service;depositRequest;id-1625820432729;1625820432733
bank-service;balance-service;depositRequest;id-1625820432729;1625820432735
atm-terminal;terminal-proxy;authenticationRequest;id-1625820434167;1625820434167
terminal-proxy;bank-service;authenticationRequest;id-1625820434167;1625820434171
bank-service;auth-server;autenticationRequest;id-1625820434167;1625820434173
atm-terminal;terminal-proxy;checkBalance;id-1625820434802;1625820434802
terminal-proxy;bank-service;checkBalance;id-1625820434802;1625820434805
bank-service;balance-service;checkBalance;id-1625820434802;1625820434807
atm-terminal;terminal-proxy;authenticationRequest;id-1625820436513;1625820436513
terminal-proxy;bank-service;authenticationRequest;id-1625820436513;1625820436517
bank-service;auth-server;autenticationRequest;id-1625820436513;1625820436519
atm-terminal;terminal-proxy;withdrawalRequest;id-1625820437790;1625820437790
terminal-proxy;bank-service;withdrawalRequest;id-1625820437790;1625820437794
bank-service;balance-service;withdrawalRequest;id-1625820437790;1625820437796
atm-terminal;terminal-proxy;depositRequest;id-1625820438711;1625820438711
terminal-proxy;bank-service;depositRequest;id-1625820438711;1625820438714
bank-service;balance-service;depositRequest;id-1625820438711;1625820438716
atm-terminal;terminal-proxy;authenticationRequest;id-1625820439779;1625820439779
terminal-proxy;bank-service;authenticationRequest;id-1625820439779;1625820439783
bank-service;auth-server;autenticationRequest;id-1625820439779;1625820439785
atm-terminal;terminal-proxy;printReceipt;id-1625820440184;1625820440184
terminal-proxy;bank-service;printReceipt;id-1625820440184;1625820440188
atm-terminal;terminal-proxy;authenticationRequest;id-1625820445425;1625820445425
terminal-proxy;bank-service;authenticationRequest;id-1625820445425;1625820445430
bank-service;auth-server;autenticationRequest;id-1625820445425;1625820445432
