Source;Callee;MessageType;SeqenceID;Timestamp
atm-terminal;terminal-proxy;authenticationRequest;id-1617267497122;03:58:17.121
terminal-proxy;bank-service;authenticationRequest;id-1617267497122;03:58:17.859
bank-service;auth-server;autenticationRequest;id-1617267497122;03:58:18.046
atm-terminal;terminal-proxy;checkBalance;id-1617267500490;03:58:20.490
terminal-proxy;bank-service;checkBalance;id-1617267500490;03:58:20.494
bank-service;balance-service;checkBalance;id-1617267500490;03:58:20.497
atm-terminal;terminal-proxy;depositRequest;id-1617267507429;03:58:27.428
terminal-proxy;bank-service;depositRequest;id-1617267507429;03:58:27.434
bank-service;balance-service;depositRequest;id-1617267507429;03:58:27.437
atm-terminal;terminal-proxy;printReceipt;id-1617267509076;03:58:29.075
terminal-proxy;bank-service;printReceipt;id-1617267509076;03:58:29.081
atm-terminal;terminal-proxy;withdrawalRequest;id-1617267512676;03:58:32.676
terminal-proxy;bank-service;withdrawalRequest;id-1617267512676;03:58:32.683
bank-service;balance-service;withdrawalRequest;id-1617267512676;03:58:32.687
atm-terminal;terminal-proxy;authenticationRequest;id-1617267514147;03:58:34.147
terminal-proxy;bank-service;authenticationRequest;id-1617267514147;03:58:34.151
bank-service;auth-server;autenticationRequest;id-1617267514147;03:58:34.154
atm-terminal;terminal-proxy;depositRequest;id-1617267515523;03:58:35.523
terminal-proxy;bank-service;depositRequest;id-1617267515523;03:58:35.526
bank-service;balance-service;depositRequest;id-1617267515523;03:58:35.529
atm-terminal;terminal-proxy;printReceipt;id-1617267516268;03:58:36.267
terminal-proxy;bank-service;printReceipt;id-1617267516268;03:58:36.272
atm-terminal;terminal-proxy;authenticationRequest;id-1617267517647;03:58:37.647
terminal-proxy;bank-service;authenticationRequest;id-1617267517647;03:58:37.651
bank-service;auth-server;autenticationRequest;id-1617267517647;03:58:37.654
atm-terminal;terminal-proxy;checkBalance;id-1617267518159;03:58:38.158
terminal-proxy;bank-service;checkBalance;id-1617267518159;03:58:38.163
bank-service;balance-service;checkBalance;id-1617267518159;03:58:38.164
atm-terminal;terminal-proxy;authenticationRequest;id-1617267519994;03:58:39.993
terminal-proxy;bank-service;authenticationRequest;id-1617267519994;03:58:39.999
bank-service;auth-server;autenticationRequest;id-1617267519994;03:58:40.000
atm-terminal;terminal-proxy;depositRequest;id-1617267521303;03:58:41.302
terminal-proxy;bank-service;depositRequest;id-1617267521303;03:58:41.306
bank-service;balance-service;depositRequest;id-1617267521303;03:58:41.309
atm-terminal;terminal-proxy;printReceipt;id-1617267522024;03:58:42.023
terminal-proxy;bank-service;printReceipt;id-1617267522024;03:58:42.032
atm-terminal;terminal-proxy;authenticationRequest;id-1617267527547;03:58:47.546
terminal-proxy;bank-service;authenticationRequest;id-1617267527547;03:58:47.551
bank-service;auth-server;autenticationRequest;id-1617267527547;03:58:47.553
atm-terminal;terminal-proxy;withdrawalRequest;id-1617267529976;03:58:49.976
terminal-proxy;bank-service;withdrawalRequest;id-1617267529976;03:58:49.982
bank-service;balance-service;withdrawalRequest;id-1617267529976;03:58:49.983
