source;target;message;trackingid;nothing
atm-terminal;terminal-proxy;authenticationRequest;id-1626699036425;1626699036425
terminal-proxy;bank-service;authenticationRequest;id-1626699036425;1626699036882
bank-service;auth-server;autenticationRequest;id-1626699036425;1626699036884
atm-terminal;terminal-proxy;checkBalance;id-1626699076322;1626699076322
terminal-proxy;bank-service;checkBalance;id-1626699076322;1626699076327
bank-service;balance-service;checkBalance;id-1626699076322;1626699076330
atm-terminal;terminal-proxy;checkBalance;id-1626699078542;1626699078542
terminal-proxy;bank-service;checkBalance;id-1626699078542;1626699078547
bank-service;balance-service;checkBalance;id-1626699078542;1626699078549
atm-terminal;terminal-proxy;checkBalance;id-1626699079454;1626699079454
terminal-proxy;bank-service;checkBalance;id-1626699079454;1626699079462
bank-service;balance-service;checkBalance;id-1626699079454;1626699079464
atm-terminal;terminal-proxy;depositRequest;id-1626699090219;1626699090219
terminal-proxy;bank-service;depositRequest;id-1626699090219;1626699090224
bank-service;balance-service;depositRequest;id-1626699090219;1626699090226
atm-terminal;terminal-proxy;withdrawalRequest;id-1626699092093;1626699092093
terminal-proxy;bank-service;withdrawalRequest;id-1626699092093;1626699092099
bank-service;balance-service;withdrawalRequest;id-1626699092093;1626699092102
atm-terminal;terminal-proxy;withdrawalRequest;id-1626699093651;1626699093651
terminal-proxy;bank-service;withdrawalRequest;id-1626699093651;1626699093656
bank-service;balance-service;withdrawalRequest;id-1626699093651;1626699093658
atm-terminal;terminal-proxy;depositRequest;id-1626699095261;1626699095261
terminal-proxy;bank-service;depositRequest;id-1626699095261;1626699095265
bank-service;balance-service;depositRequest;id-1626699095261;1626699095267
atm-terminal;terminal-proxy;depositRequest;id-1626699096359;1626699096359
terminal-proxy;bank-service;depositRequest;id-1626699096359;1626699096363
bank-service;balance-service;depositRequest;id-1626699096359;1626699096365
atm-terminal;terminal-proxy;depositRequest;id-1626699097559;1626699097559
terminal-proxy;bank-service;depositRequest;id-1626699097559;1626699097563
bank-service;balance-service;depositRequest;id-1626699097559;1626699097565
atm-terminal;terminal-proxy;printReceipt;id-1626699098124;1626699098124
terminal-proxy;bank-service;printReceipt;id-1626699098124;1626699098128
atm-terminal;terminal-proxy;printReceipt;id-1626699099560;1626699099560
terminal-proxy;bank-service;printReceipt;id-1626699099560;1626699099565
atm-terminal;terminal-proxy;printReceipt;id-1626699100300;1626699100300
terminal-proxy;bank-service;printReceipt;id-1626699100300;1626699100304
atm-terminal;terminal-proxy;printReceipt;id-1626699108890;1626699108890
terminal-proxy;bank-service;printReceipt;id-1626699108890;1626699108895
atm-terminal;terminal-proxy;printReceipt;id-1626699109599;1626699109599
terminal-proxy;bank-service;printReceipt;id-1626699109599;1626699109603
atm-terminal;terminal-proxy;printReceipt;id-1626699110336;1626699110336
terminal-proxy;bank-service;printReceipt;id-1626699110336;1626699110339
atm-terminal;terminal-proxy;checkBalance;id-1626699111227;1626699111227
terminal-proxy;bank-service;checkBalance;id-1626699111227;1626699111231
bank-service;balance-service;checkBalance;id-1626699111227;1626699111233
atm-terminal;terminal-proxy;checkBalance;id-1626699112234;1626699112234
terminal-proxy;bank-service;checkBalance;id-1626699112234;1626699112237
bank-service;balance-service;checkBalance;id-1626699112234;1626699112240
atm-terminal;terminal-proxy;anomalyRequest;id-1626699112656;1626699112656
terminal-proxy;anomaly-server;anomalyRequest;id-1626699112656;1626699112660
atm-terminal;terminal-proxy;printReceipt;id-1626699114573;1626699114573
terminal-proxy;bank-service;printReceipt;id-1626699114573;1626699114577
atm-terminal;terminal-proxy;depositRequest;id-1626699123460;1626699123460
terminal-proxy;bank-service;depositRequest;id-1626699123460;1626699123463
bank-service;balance-service;depositRequest;id-1626699123460;1626699123465
atm-terminal;terminal-proxy;withdrawalRequest;id-1626699124872;1626699124872
terminal-proxy;bank-service;withdrawalRequest;id-1626699124872;1626699124875
bank-service;balance-service;withdrawalRequest;id-1626699124872;1626699124877
atm-terminal;bank-service;printReceipt;id-1626699135389;1626699135389
atm-terminal;bank-service;withdrawalRequest;id-1626699138022;1626699138022
bank-service;balance-service;withdrawalRequest;id-1626699138022;1626699138025
atm-terminal;bank-service;checkBalance;id-1626699138548;1626699138548
bank-service;balance-service;checkBalance;id-1626699138548;1626699138551
atm-terminal;bank-service;authenticationRequest;id-1626699140127;1626699140127
bank-service;auth-server;autenticationRequest;id-1626699140127;1626699140131
atm-terminal;bank-service;authenticationRequest;id-1626699141728;1626699141728
bank-service;auth-server;autenticationRequest;id-1626699141728;1626699141731
atm-terminal;terminal-proxy;authenticationRequest;id-1626699143758;1626699143758
terminal-proxy;bank-service;authenticationRequest;id-1626699143758;1626699143763
bank-service;auth-server;autenticationRequest;id-1626699143758;1626699143765
atm-terminal;terminal-proxy;authenticationRequest;id-1626699145162;1626699145162
terminal-proxy;bank-service;authenticationRequest;id-1626699145162;1626699145165
bank-service;auth-server;autenticationRequest;id-1626699145162;1626699145167
