source;target;message;trackingID;unknown
atm-terminal;terminal-proxy;authenticationRequest;id-1626254316077;1626254316077
terminal-proxy;bank-service;authenticationRequest;id-1626254316077;1626254316605
bank-service;auth-server;autenticationRequest;id-1626254316077;1626254316764
atm-terminal;terminal-proxy;checkBalance;id-1626254323432;1626254323432
terminal-proxy;bank-service;checkBalance;id-1626254323432;1626254323437
bank-service;balance-service;checkBalance;id-1626254323432;1626254323441
atm-terminal;terminal-proxy;depositRequest;id-1626254327533;1626254327533
terminal-proxy;bank-service;depositRequest;id-1626254327533;1626254327537
bank-service;balance-service;depositRequest;id-1626254327533;1626254327540
atm-terminal;terminal-proxy;checkBalance;id-1626254328389;1626254328389
terminal-proxy;bank-service;checkBalance;id-1626254328389;1626254328393
bank-service;balance-service;checkBalance;id-1626254328389;1626254328396
atm-terminal;terminal-proxy;depositRequest;id-1626254330243;1626254330243
terminal-proxy;bank-service;depositRequest;id-1626254330243;1626254330252
bank-service;balance-service;depositRequest;id-1626254330243;1626254330255
atm-terminal;terminal-proxy;depositRequest;id-1626254331574;1626254331574
terminal-proxy;bank-service;depositRequest;id-1626254331574;1626254331579
bank-service;balance-service;depositRequest;id-1626254331574;1626254331581
atm-terminal;terminal-proxy;depositRequest;id-1626254332541;1626254332541
terminal-proxy;bank-service;depositRequest;id-1626254332541;1626254332546
bank-service;balance-service;depositRequest;id-1626254332541;1626254332548
atm-terminal;terminal-proxy;depositRequest;id-1626254333540;1626254333540
terminal-proxy;bank-service;depositRequest;id-1626254333540;1626254333545
bank-service;balance-service;depositRequest;id-1626254333540;1626254333548
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254334381;1626254334381
terminal-proxy;bank-service;withdrawalRequest;id-1626254334381;1626254334386
bank-service;balance-service;withdrawalRequest;id-1626254334381;1626254334389
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254335254;1626254335254
terminal-proxy;bank-service;withdrawalRequest;id-1626254335254;1626254335258
bank-service;balance-service;withdrawalRequest;id-1626254335254;1626254335261
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254336077;1626254336077
terminal-proxy;bank-service;withdrawalRequest;id-1626254336077;1626254336082
bank-service;balance-service;withdrawalRequest;id-1626254336077;1626254336085
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254337144;1626254337144
terminal-proxy;bank-service;withdrawalRequest;id-1626254337144;1626254337148
bank-service;balance-service;withdrawalRequest;id-1626254337144;1626254337149
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254338348;1626254338348
terminal-proxy;bank-service;withdrawalRequest;id-1626254338348;1626254338354
bank-service;balance-service;withdrawalRequest;id-1626254338348;1626254338356
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254339273;1626254339273
terminal-proxy;bank-service;withdrawalRequest;id-1626254339273;1626254339277
bank-service;balance-service;withdrawalRequest;id-1626254339273;1626254339280
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254340209;1626254340209
terminal-proxy;bank-service;withdrawalRequest;id-1626254340209;1626254340214
bank-service;balance-service;withdrawalRequest;id-1626254340209;1626254340216
atm-terminal;terminal-proxy;checkBalance;id-1626254340967;1626254340967
terminal-proxy;bank-service;checkBalance;id-1626254340967;1626254340972
bank-service;balance-service;checkBalance;id-1626254340967;1626254340974
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254342409;1626254342409
terminal-proxy;bank-service;withdrawalRequest;id-1626254342409;1626254342413
bank-service;balance-service;withdrawalRequest;id-1626254342409;1626254342415
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254343279;1626254343279
terminal-proxy;bank-service;withdrawalRequest;id-1626254343279;1626254343283
bank-service;balance-service;withdrawalRequest;id-1626254343279;1626254343285
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254344250;1626254344250
terminal-proxy;bank-service;withdrawalRequest;id-1626254344250;1626254344253
bank-service;balance-service;withdrawalRequest;id-1626254344250;1626254344256
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254345381;1626254345381
terminal-proxy;bank-service;withdrawalRequest;id-1626254345381;1626254345385
bank-service;balance-service;withdrawalRequest;id-1626254345381;1626254345387
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254346438;1626254346438
terminal-proxy;bank-service;withdrawalRequest;id-1626254346438;1626254346442
bank-service;balance-service;withdrawalRequest;id-1626254346438;1626254346445
atm-terminal;terminal-proxy;checkBalance;id-1626254348181;1626254348181
terminal-proxy;bank-service;checkBalance;id-1626254348181;1626254348185
bank-service;balance-service;checkBalance;id-1626254348181;1626254348187
atm-terminal;terminal-proxy;printReceipt;id-1626254349614;1626254349614
terminal-proxy;bank-service;printReceipt;id-1626254349614;1626254349617
atm-terminal;terminal-proxy;printReceipt;id-1626254350817;1626254350817
terminal-proxy;bank-service;printReceipt;id-1626254350817;1626254350821
atm-terminal;terminal-proxy;printReceipt;id-1626254351830;1626254351830
terminal-proxy;bank-service;printReceipt;id-1626254351830;1626254351833
atm-terminal;terminal-proxy;printReceipt;id-1626254352577;1626254352577
terminal-proxy;bank-service;printReceipt;id-1626254352577;1626254352581
atm-terminal;terminal-proxy;printReceipt;id-1626254353166;1626254353166
terminal-proxy;bank-service;printReceipt;id-1626254353166;1626254353169
atm-terminal;terminal-proxy;printReceipt;id-1626254353824;1626254353824
terminal-proxy;bank-service;printReceipt;id-1626254353824;1626254353827
atm-terminal;terminal-proxy;authenticationRequest;id-1626254355018;1626254355018
terminal-proxy;bank-service;authenticationRequest;id-1626254355018;1626254355021
bank-service;auth-server;autenticationRequest;id-1626254355018;1626254355024
atm-terminal;terminal-proxy;authenticationRequest;id-1626254356502;1626254356502
terminal-proxy;bank-service;authenticationRequest;id-1626254356502;1626254356506
bank-service;auth-server;autenticationRequest;id-1626254356502;1626254356508
atm-terminal;terminal-proxy;authenticationRequest;id-1626254357462;1626254357462
terminal-proxy;bank-service;authenticationRequest;id-1626254357462;1626254357466
bank-service;auth-server;autenticationRequest;id-1626254357462;1626254357469
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254358860;1626254358860
terminal-proxy;bank-service;withdrawalRequest;id-1626254358860;1626254358863
bank-service;balance-service;withdrawalRequest;id-1626254358860;1626254358865
atm-terminal;terminal-proxy;depositRequest;id-1626254360524;1626254360524
terminal-proxy;bank-service;depositRequest;id-1626254360524;1626254360527
bank-service;balance-service;depositRequest;id-1626254360524;1626254360529
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254361540;1626254361540
terminal-proxy;bank-service;withdrawalRequest;id-1626254361540;1626254361544
bank-service;balance-service;withdrawalRequest;id-1626254361540;1626254361546
atm-terminal;terminal-proxy;checkBalance;id-1626254362127;1626254362127
terminal-proxy;bank-service;checkBalance;id-1626254362127;1626254362130
bank-service;balance-service;checkBalance;id-1626254362127;1626254362132
atm-terminal;terminal-proxy;authenticationRequest;id-1626254363713;1626254363713
terminal-proxy;bank-service;authenticationRequest;id-1626254363713;1626254363717
bank-service;auth-server;autenticationRequest;id-1626254363713;1626254363719
atm-terminal;terminal-proxy;printReceipt;id-1626254364436;1626254364436
terminal-proxy;bank-service;printReceipt;id-1626254364436;1626254364439
atm-terminal;terminal-proxy;authenticationRequest;id-1626254365559;1626254365559
terminal-proxy;bank-service;authenticationRequest;id-1626254365559;1626254365563
bank-service;auth-server;autenticationRequest;id-1626254365559;1626254365565
atm-terminal;terminal-proxy;depositRequest;id-1626254366719;1626254366719
terminal-proxy;bank-service;depositRequest;id-1626254366719;1626254366723
bank-service;balance-service;depositRequest;id-1626254366719;1626254366725
atm-terminal;terminal-proxy;depositRequest;id-1626254368320;1626254368320
terminal-proxy;bank-service;depositRequest;id-1626254368320;1626254368323
bank-service;balance-service;depositRequest;id-1626254368320;1626254368325
atm-terminal;terminal-proxy;depositRequest;id-1626254369586;1626254369586
terminal-proxy;bank-service;depositRequest;id-1626254369586;1626254369589
bank-service;balance-service;depositRequest;id-1626254369586;1626254369591
atm-terminal;terminal-proxy;authenticationRequest;id-1626254370552;1626254370552
terminal-proxy;bank-service;authenticationRequest;id-1626254370552;1626254370555
bank-service;auth-server;autenticationRequest;id-1626254370552;1626254370557
atm-terminal;terminal-proxy;checkBalance;id-1626254371122;1626254371122
terminal-proxy;bank-service;checkBalance;id-1626254371122;1626254371125
bank-service;balance-service;checkBalance;id-1626254371122;1626254371127
atm-terminal;terminal-proxy;printReceipt;id-1626254371870;1626254371870
terminal-proxy;bank-service;printReceipt;id-1626254371870;1626254371874
atm-terminal;terminal-proxy;authenticationRequest;id-1626254373055;1626254373055
terminal-proxy;bank-service;authenticationRequest;id-1626254373055;1626254373059
bank-service;auth-server;autenticationRequest;id-1626254373055;1626254373061
atm-terminal;terminal-proxy;checkBalance;id-1626254373487;1626254373487
