"X.timestamp";"MetricName";"Tag_EventHandlerInstance";"Tag_EventHandlerName";"Tag_MC.TrackingId";"Tag_StreamTypeName";"Tag_Type"
"May 20, 2021 @ 09:15:05.636";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.Sync_Event"
"May 20, 2021 @ 09:15:05.636";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.EndSync_Event"
"May 20, 2021 @ 09:15:05.635";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.StartSync_Event"
"May 20, 2021 @ 09:15:05.634";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.Sync_Event"
"May 20, 2021 @ 09:15:05.634";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.EndSync_Event"
"May 20, 2021 @ 09:15:05.628";"Event";"ExtendedKlantDC.ExtendedKlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.Sync_Event"
"May 20, 2021 @ 09:15:05.628";"Event";"ExtendedKlantDC.ExtendedKlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.StartSync_Event"
"May 20, 2021 @ 09:15:05.628";"Event";"ExtendedKlantDC.ExtendedKlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.Sync_Event"
"May 20, 2021 @ 09:15:05.620";"Event";"ExtendedKlantDC.ExtendedKlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.StartSync_Event"
"May 20, 2021 @ 09:15:05.620";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Settings.Verkooporder_Klant_KortingSyncProjector";"Verkooporder_Klant_Korting.StartSync_Event"
